exhid,name,address_line1,address_line2,city_state_zip,country,full_address,website,phone,booth,booth_code,about,product_categories,facebook,linkedin,instagram,twitter,youtube,profile_url,scraped_at
5115,Adrenaline  Constructions,"Strada Gran Prè, 21MarebbeBZ  39030Italywww.adrenalineconstructions.com",,,"Strada Gran Prè, 21MarebbeBZ  39030Italywww.adrenalineconstructions.com","Strada Gran Prè, 21MarebbeBZ  39030Italywww.adrenalineconstructions.com",http://www.adrenalineconstructions.com,,South Exhibit Halls S3-S23 — S4812,,,Participatory Play Equipment > Interactive Sports/Zip Lines,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=5115,2026-04-28T15:22:39
10461,Advatek Lighting,"Unit 1, 3-5 Gilda Court, MulgraveMelbourneVictoria 3170Australiawww.advateklighting.com",,,"Unit 1, 3-5 Gilda Court, MulgraveMelbourneVictoria 3170Australiawww.advateklighting.com","Unit 1, 3-5 Gilda Court, MulgraveMelbourneVictoria 3170Australiawww.advateklighting.com",https://www.advateklighting.com,,North Exhibit Halls N19-N23 — N4919,,"Advatek is an Australian based pixel controller manufacturer powering the world’s most impressive shows, installations and events. Since starting in Melbourne in 2012, we’ve led the way in advanced LED pixel controllers, lighting everything from seasonal displays and architecture to theme parks and film sets. Every Advatek product pushes boundaries while delivering dependable design, strong warranties and unwavering quality, reliability and service.",Displays & Sets > Scenery & Sets | Rides (Dry) > Dark | Theatrical Equipment & Supplies > Audio/Visual | Theatrical Equipment & Supplies > Lighting,https://www.facebook.com/advateklights,https://www.linkedin.com/company/19256361/admin/dashboard/,https://www.instagram.com/advatek,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10461,2026-04-28T15:22:42
2100,Aerodium,Valerijas Seiles str 6RigaLV 1003Latviawww.aerodium.technology,,,Valerijas Seiles str 6RigaLV 1003Latviawww.aerodium.technology,Valerijas Seiles str 6RigaLV 1003Latviawww.aerodium.technology,http://www.aerodium.technology,,South Exhibit Halls S3-S23 — S3745,,,Rides (Dry) > Major,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=2100,2026-04-28T15:22:46
536,AEROPHILE,17 RUE VASCO DE GAMAParisNOT REQUIRED FOR THIS COUNTRY  75015FranceWWW.AEROPHILE.COM,,,17 RUE VASCO DE GAMAParisNOT REQUIRED FOR THIS COUNTRY  75015FranceWWW.AEROPHILE.COM,17 RUE VASCO DE GAMAParisNOT REQUIRED FOR THIS COUNTRY  75015FranceWWW.AEROPHILE.COM,http://WWW.AEROPHILE.COM,,South Exhibit Halls S3-S23 — S122,,,Rides (Dry) > Major,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=536,2026-04-28T15:22:49
10542,AFACANPARK,Ata OSB Mah. Astim 3. Cad. No:4EfelerAydin 0900Turkey,,,Ata OSB Mah. Astim 3. Cad. No:4EfelerAydin 0900Turkey,Ata OSB Mah. Astim 3. Cad. No:4EfelerAydin 0900Turkey,,,South Exhibit Halls S3-S23 — S3511,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10542,2026-04-28T15:22:53
10764,AI Gaming Ltd,"Unit 16 Dunstall Hill Trading Estate, Gorsebrook RoadGorsebrook RoadWolverhamptonWest Midlands WV6 0PJUnited Kingdom",,,"Unit 16 Dunstall Hill Trading Estate, Gorsebrook RoadGorsebrook RoadWolverhamptonWest Midlands WV6 0PJUnited Kingdom","Unit 16 Dunstall Hill Trading Estate, Gorsebrook RoadGorsebrook RoadWolverhamptonWest Midlands WV6 0PJUnited Kingdom",,,North Exhibit Halls N19-N23 — N5128 | North Exhibit Halls N19-N23 — N5133,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10764,2026-04-28T15:22:56
4454,Aier Inflatable Group Co. Ltd,,,,,,,,,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=4454,
4053,AIRO Amusement Equipment Co. Ltd.,,,,,,,,,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=4053,
8666,Airquee Group inc. Airparx,,,,,,,,,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8666,
7916,AirTrack Factory,,,,,,,,,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=7916,
